Study ID,Study,Year,r,z,N,v,Appraisal,Emotion,country,female,age,remarks,Dissertation,exp,included
1,Smith & Ellsworth,1987,0.44,0.472230804,83,0.0125,agency-other,anger,USA,,,preexam scores excluded due to dependencies of samples,no,no,yes
1,Smith & Ellsworth,1987,-0.22,-0.223656109,83,0.0125,attention,anger,USA,,,preexam scores excluded due to dependencies of samples,no,no,yes
1,Smith & Ellsworth,1987,-0.47,-0.510070337,83,0.0125,certainty,anger,USA,,,preexam scores excluded due to dependencies of samples,no,no,yes
1,Smith & Ellsworth,1987,0.09,0.090244188,83,0.0125,difficulty,anger,USA,,,preexam scores excluded due to dependencies of samples,no,no,yes
1,Smith & Ellsworth,1987,0.42,0.447692024,83,0.0125,effort,anger,USA,,,preexam scores excluded due to dependencies of samples,no,no,yes
1,Smith & Ellsworth,1987,0.28,0.287682072,83,0.0125,importance,anger,USA,,,preexam scores excluded due to dependencies of samples,no,no,yes
1,Smith & Ellsworth,1987,-0.73,-0.928727364,83,0.0125,legitimacy,anger,USA,,,preexam scores excluded due to dependencies of samples,no,no,yes
1,Smith & Ellsworth,1987,0.61,0.708921359,83,0.0125,obstacle,anger,USA,,,"preexam scores excluded due to dependencies of samples. ""obstacle""- the extent to which the person perceives problems or obstacles in the situa- tion that are hampering the atta.inment of a desired goal.",no,no,yes
1,Smith & Ellsworth,1987,-0.69,-0.847955755,83,0.0125,pleasantness,anger,USA,,,preexam scores excluded due to dependencies of samples,no,no,yes
1,Smith & Ellsworth,1987,0.32,0.331647109,83,0.0125,agency-other,apathy,USA,,,preexam scores excluded due to dependencies of samples,no,no,yes
1,Smith & Ellsworth,1987,-0.36,-0.376885901,83,0.0125,attention,apathy,USA,,,preexam scores excluded due to dependencies of samples,no,no,yes
1,Smith & Ellsworth,1987,-0.03,-0.030009005,83,0.0125,certainty,apathy,USA,,,preexam scores excluded due to dependencies of samples,no,no,yes
