Emotion,Appraisal,k,r,interpretation,prediction,ref
anger,accountability-other,49,0.37***,"The greater the perceived responsibility for the cause of the situation attributed to other people/objects, the greater the anger.",Predicted & Supported,
anger,threat,31,0.37***,"The greater the perceived imminent threat in the situation, the greater the anger.",No prediction & Significant,
anger,fairness,31,-0.39***,"The greater the perceived fairness of the situation, the less the anger.",Predicted & Supported,
anger,control-self,30,-0.12*,"The greater the perceived control over the situation, the less the anger.",Predicted & Supported,
anger,accountability-self,25,0.053,,No prediction & Not Significant,
anger,goal relevance,23,0.25***,"The greater the perceived relevance of the situation to one's goals, the greater the anger.",Predicted & Supported,
anger,problem-focused coping potential,23,-0.24***,"The greater the perceived ability to cope and adapt to the situation, the less the anger.",Predicted & Supported,
anger,goal conduciveness,21,-0.31***,"The greater the consistency of the situation with one's goals, the less the anger.",Predicted & Supported,
anger,certainty,14,-0.16,,Predicted & Not Significant,
anger,value,13,-0.26***,"The greater the perceived value of the situation to one's goals and desires, the less the anger.",No prediction & Significant,
anger,pleasantness,11,-0.42***,"The greater the perceived pleasantness of the situation, the less the anger.",Predicted & Supported,
anger,future expectancy,10,-0.12,,No prediction & Not Significant,
anger,challenge,8,0.0041,,No prediction & Not Significant,
anger,accountability-circumstances,7,-0.0042,,No prediction & Not Significant,
anger,emotion-focused coping potential,7,-0.13,,No prediction & Not Significant,
anger,control-other,6,-0.014,,Predicted & Not Significant,
anger,attentional activity,6,0.042,,No prediction & Not Significant,
anger,normative significance (external),6,-0.3*,"The greater the consistency of the situation with external and social norms, the less the anger.",Predicted & Supported,
anger,loss,5,0.27*,"The greater the perception that something irretrievable has been lost, the greater the anger.",No prediction & Significant,
anger,expectedness,5,0.0026,,Predicted & Not Significant,
anger,effort,4,0.23***,"The greater the need to exert effort to deal with the situation, the greater the anger.",Predicted & Supported,
anger,harm,3,0.38***,"The greater the perceived harm, the greater the anger.",Predicted & Supported,
anger,difficulty,3,0.24**,"The greater the perceived difficulty, the greater the anger.",No prediction & Significant,
anger,perceived obstacle,3,0.48***,"The greater the perception that an obstacle hampers the attainment of a desired goal, the greater the anger.",Predicted & Supported,
anger,intentionality,3,0.078,,Predicted & Not Significant,
anger,novelty,3,-0.16,,Predicted & Not Significant,
anger,uniqueness,3,-0.041,,No prediction & Not Significant,
anger,future predictability,3,-0.23**,"The greater the ability to predict what is going to occur in the future, the less the anger.",No prediction & Significant,
anger,stability,3,0.033,,No prediction & Not Significant,
anger,severity,2,0.41***,"The greater the perceived severity of the consequences of the situation to one's well-being, the greater the anger.",No prediction & Significant,
anger,control-circumstances,2,0.097,,No prediction & Not Significant,
anger,normative significance (internal),2,0.085***,"The greater the consistency of the situation with one's ideals, the greater the anger.",No prediction & Significant,
anger,globality,2,0.022,,No prediction & Not Significant,
anger,easing of threat,1,-0.29***,"The greater the perception that a threat or harm has been removed from the situation, the less the anger.",No prediction & Significant,
anger,effortful success,1,-0.26***,"The greater the perception that effort could make the situation better, the less the anger.",No prediction & Significant,
anger,modifiability,1,-0.34*,"The greater the perception that the situation could be modified, the less the anger.",No prediction & Significant,
anger,concern for others,1,0.11,,No prediction & Not Significant,
anger,evil character,1,0.25***,"The greater the perception of others as dispositionally evil, the greater the anger.",No prediction & Significant,
anger,reality,1,-0.16,,No prediction & Not Significant,
anger,self-esteem decreased,1,-0.04,,No prediction & Not Significant,
anger,temporal distance,1,-0.03,,No prediction & Not Significant,
anxiety,threat,41,0.47***,"The greater the perceived imminent threat in the situation, the greater the anxiety.",Predicted & Supported,
anxiety,control-self,40,-0.32***,"The greater the perceived control over the situation, the less the anxiety.",No prediction & Significant,
anxiety,problem-focused coping potential,29,-0.27***,"The greater the perceived ability to cope and adapt to the situation, the less the anxiety.",No prediction & Significant,
anxiety,value,24,-0.21***,"The greater the perceived value of the situation to one's goals and desires, the less the anxiety.",No prediction & Significant,
anxiety,goal conduciveness,18,-0.31***,"The greater the consistency of the situation with one's goals, the less the anxiety.",No prediction & Significant,
anxiety,goal relevance,17,0.15**,"The greater the perceived relevance of the situation to one's goals, the greater the anxiety.",Predicted & Supported,
anxiety,challenge,16,-0.018,,No prediction & Not Significant,
anxiety,accountability-other,11,0.052,,No prediction & Not Significant,
anxiety,accountability-self,11,0.16*,"The greater the perceived personal responsibility of the cause of the situation, the greater the anxiety.",No prediction & Significant,
anxiety,future expectancy,9,-0.18***,"The greater the expectation that the situation will get better, the less the anxiety.",No prediction & Significant,
anxiety,emotion-focused coping potential,7,-0.39***,"The greater the ability to emotionally cope and adapt to the situation, the less the anxiety.",No prediction & Significant,
anxiety,certainty,6,-0.3***,"The greater the understanding of the situation, the less the anxiety.",Predicted & Supported,
anxiety,loss,4,0.43***,"The greater the perception that something irretrievable has been lost, the greater the anxiety.",No prediction & Significant,
anxiety,pleasantness,3,-0.29*,"The greater the perceived pleasantness of the situation, the less the anxiety.",Predicted & Supported,
anxiety,severity,3,0.25**,"The greater the perceived severity of the consequences of the situation to one's well-being, the greater the anxiety.",Predicted & Supported,
anxiety,difficulty,3,0.26*,"The greater the perceived difficulty, the greater the anxiety.",No prediction & Significant,
anxiety,control-other,3,-0.15***,"The greater the perception that other people/objects have control over the situation, the less the anxiety.",No prediction & Significant,
anxiety,harm,2,0.33**,"The greater the perceived harm, the greater the anxiety.",No prediction & Significant,
anxiety,accountability-circumstances,2,0.21***,"The greater the attribution of the cause of the situation to impersonal circumstances, the greater the anxiety.",No prediction & Significant,
anxiety,control-circumstances,2,0.13,,No prediction & Not Significant,
anxiety,novelty,2,0.34***,"The greater the perceived novelty in the situation, the greater the anxiety.",No prediction & Significant,
anxiety,expectedness,2,-0.14,,No prediction & Not Significant,
anxiety,attentional activity,2,0.05,,No prediction & Not Significant,
anxiety,effort,2,0.1*,"The greater the need to exert effort to deal with the situation, the greater the anxiety.",No prediction & Significant,
anxiety,easing of threat,1,-0.16*,"The greater the perception that a threat or harm has been removed from the situation, the less the anxiety.",No prediction & Significant,
anxiety,intentionality,1,-0.29***,"The greater the perceived intentionality of the cause of the event either by oneself or others, the less the anxiety.",No prediction & Significant,
anxiety,effortful success,1,-0.09,,No prediction & Not Significant,
anxiety,modifiability,1,0.05,,No prediction & Not Significant,
anxiety,future predictability,1,-0.26***,"The greater the ability to predict what is going to occur in the future, the less the anxiety.",No prediction & Significant,
anxiety,stability,1,-0.15*,"The greater the perception that the situation is stable and permanent, the less the anxiety.",No prediction & Significant,
anxiety,fairness,1,-0.07,,Predicted & Not Significant,
anxiety,normative significance (external),1,0.03,,No prediction & Not Significant,
anxiety,concern for others,1,0.28*,"The greater the concern for others' well-being in the situation, the greater the anxiety.",No prediction & Significant,
anxiety,globality,1,-0.09,,No prediction & Not Significant,
boredom,value,33,-0.4***,"The greater the perceived value of the situation to one's goals and desires, the less the boredom.",Predicted & Supported,
boredom,control-self,31,-0.37***,"The greater the perceived control over the situation, the less the boredom.",Predicted & Supported,
boredom,accountability-other,6,0.22***,"The greater the perceived responsibility for the cause of the situation attributed to other people/objects, the greater the boredom.",No prediction & Significant,
boredom,problem-focused coping potential,5,-0.12,,No prediction & Not Significant,
boredom,goal relevance,4,-0.26***,"The greater the perceived relevance of the situation to one's goals, the less the boredom.",No prediction & Significant,
boredom,threat,2,0.14*,"The greater the perceived imminent threat in the situation, the greater the boredom.",No prediction & Significant,
boredom,goal conduciveness,2,-0.33***,"The greater the consistency of the situation with one's goals, the less the boredom.",No prediction & Significant,
boredom,attentional activity,2,-0.34***,"The greater the perceived need to take time/effort to attend to the situation further, the less the boredom.",No prediction & Significant,
boredom,pleasantness,1,-0.39**,"The greater the perceived pleasantness of the situation, the less the boredom.",No prediction & Significant,
boredom,accountability-self,1,0.15*,"The greater the perceived personal responsibility of the cause of the situation, the greater the boredom.",No prediction & Significant,
boredom,expectedness,1,-0.29***,"The greater the expectation of the occurrence of the situation, the less the boredom.",No prediction & Significant,
boredom,normative significance (external),1,-0.02,,No prediction & Not Significant,
boredom,concern for others,1,-0.24**,"The greater the concern for others' well-being in the situation, the less the boredom.",No prediction & Significant,
boredom,challenge,1,0.25***,"The greater the perception of a future gain after overcoming an obstacle in the situation, the greater the boredom.",Predicted & Supported,"Krannich, M., Goetz, T., Lipnevich, A. A., Bieg, M., Roos, A. L., Becker, E. S., & Morger, V. (2019). Being over-or underchallenged in class: Effects on students' career aspirations via academic self-concept and boredom.ÊLearning and Individual Differences,Ê69, 206-218."
enjoyment,control-self,31,0.45***,"The greater the perceived control over the situation, the greater the enjoyment.",Predicted & Supported,
enjoyment,value,28,0.5***,"The greater the perceived value of the situation to one's goals and desires, the greater the enjoyment.",Predicted & Supported,
enjoyment,problem-focused coping potential,5,0.45***,"The greater the perceived ability to cope and adapt to the situation, the greater the enjoyment.",No prediction & Significant,
enjoyment,goal relevance,2,0.3***,"The greater the perceived relevance of the situation to one's goals, the greater the enjoyment.",No prediction & Significant,
enjoyment,goal conduciveness,1,0.28***,"The greater the consistency of the situation with one's goals, the greater the enjoyment.",No prediction & Significant,
